fold,case_id,dice_D129,dice_D175,diff_dice_D175_minus_D129,id_rate_D129,id_rate_D175,diff_id_rate_D175_minus_D129
2,sub-verse412_split-verse290,0.961541,0.960002,-0.001538999999999957,0.842105,0.947368,0.105263
3,sub-verse010,0.909736,0.902946,-0.006789999999999963,1.0,1.0,0.0
3,sub-verse011,0.908615,0.90792,-0.0006950000000000012,0.666667,0.666667,0.0
3,sub-verse013,0.940387,0.942994,0.002607000000000026,1.0,1.0,0.0
3,sub-verse016,0.963949,0.962188,-0.0017609999999999015,1.0,1.0,0.0
3,sub-verse018,0.910344,0.909162,-0.0011820000000000164,1.0,1.0,0.0
3,sub-verse022,0.876442,0.87616,-0.00028200000000000447,1.0,1.0,0.0
3,sub-verse023,0.954606,0.954949,0.00034300000000009323,0.625,0.625,0.0
3,sub-verse024,0.956638,0.95641,-0.00022800000000000598,0.8,0.8,0.0
3,sub-verse026,0.955559,0.953497,-0.0020620000000000083,1.0,0.909091,-0.09090900000000002
3,sub-verse030,0.959851,0.969639,0.009788000000000019,1.0,1.0,0.0
3,sub-verse041,0.951035,0.950394,-0.0006410000000000027,0.888889,0.944444,0.05555499999999991
3,sub-verse047,0.960446,0.958564,-0.0018820000000000503,0.941176,0.823529,-0.11764700000000006
3,sub-verse058,0.958029,0.951573,-0.006456000000000017,1.0,1.0,0.0
3,sub-verse067,0.926851,0.93009,0.003238999999999992,0.5,0.9,0.4
3,sub-verse071,0.95672,0.956198,-0.0005220000000000224,1.0,1.0,0.0
3,sub-verse073,0.903236,0.905262,0.0020259999999999723,1.0,1.0,0.0
3,sub-verse078,0.953911,0.948299,-0.00561199999999995,1.0,1.0,0.0
3,sub-verse080,0.942295,0.941234,-0.0010609999999999786,1.0,1.0,0.0
3,sub-verse093,0.92119,0.917496,-0.003693999999999975,1.0,1.0,0.0
3,sub-verse095,0.965663,0.966542,0.0008789999999999631,1.0,1.0,0.0
3,sub-verse116,0.675467,0.673388,-0.002079000000000053,1.0,1.0,0.0
3,sub-verse124,0.893198,0.892086,-0.0011120000000000019,1.0,1.0,0.0
3,sub-verse125,0.882627,0.880727,-0.0019000000000000128,1.0,1.0,0.0
3,sub-verse150,0.858269,0.857499,-0.0007699999999999374,0.666667,1.0,0.333333
3,sub-verse153,0.971695,0.971625,-7.00000000000145e-05,1.0,1.0,0.0
3,sub-verse205,0.920021,0.89157,-0.028451000000000004,1.0,1.0,0.0
3,sub-verse221,0.888306,0.885164,-0.003142000000000089,1.0,1.0,0.0
3,sub-verse225,0.874178,0.900285,0.02610699999999999,0.875,1.0,0.125
3,sub-verse230,0.908073,0.91825,0.010176999999999992,1.0,1.0,0.0
3,sub-verse242,0.86777,0.892039,0.024268999999999985,1.0,1.0,0.0
3,sub-verse252,0.966598,0.965508,-0.0010899999999999244,0.294118,0.294118,0.0
3,sub-verse264,0.956807,0.958619,0.0018120000000000358,0.941176,0.823529,-0.11764700000000006
3,sub-verse269,0.955507,0.954547,-0.0009599999999999609,0.8125,0.75,-0.0625
3,sub-verse276,0.951482,0.950685,-0.0007970000000000477,1.0,1.0,0.0
3,sub-verse400_split-verse090,0.926569,0.929409,0.0028400000000000647,1.0,1.0,0.0
3,sub-verse400_split-verse155,0.949691,0.94819,-0.0015009999999999746,1.0,1.0,0.0
3,sub-verse404_split-verse209,0.949225,0.952316,0.003091000000000066,1.0,1.0,0.0
3,sub-verse404_split-verse256,0.976085,0.976606,0.0005209999999999937,1.0,1.0,0.0
3,sub-verse412_split-verse235,0.891135,0.890997,-0.00013799999999997148,1.0,1.0,0.0
3,sub-verse412_split-verse290,0.963755,0.963175,-0.0005800000000000249,0.894737,0.947368,0.05263099999999998
4,sub-verse010,0.891903,0.899028,0.007125000000000048,1.0,1.0,0.0
4,sub-verse011,0.909982,0.907813,-0.0021689999999999765,0.916667,0.833333,-0.08333400000000002
4,sub-verse013,0.942179,0.941041,-0.0011379999999999724,0.875,1.0,0.125
4,sub-verse016,0.962485,0.96454,0.002054999999999918,1.0,1.0,0.0
4,sub-verse018,0.9126,0.911712,-0.0008879999999999999,1.0,0.9375,-0.0625
4,sub-verse022,0.880915,0.882466,0.001550999999999969,1.0,1.0,0.0
4,sub-verse023,0.956529,0.954628,-0.0019009999999999305,0.5,0.5,0.0
4,sub-verse024,0.956155,0.956617,0.00046200000000007346,0.9,1.0,0.09999999999999998
4,sub-verse026,0.951679,0.954541,0.00286199999999992,0.909091,0.909091,0.0
4,sub-verse030,0.962904,0.95267,-0.010233999999999965,1.0,1.0,0.0
4,sub-verse041,0.950431,0.950799,0.00036799999999992394,1.0,1.0,0.0
4,sub-verse047,0.958878,0.957566,-0.0013119999999999798,1.0,1.0,0.0
4,sub-verse058,0.954444,0.957549,0.0031050000000000244,1.0,1.0,0.0
4,sub-verse067,0.930562,0.945222,0.014660000000000006,1.0,1.0,0.0
4,sub-verse071,0.957481,0.956986,-0.0004950000000000232,1.0,1.0,0.0
4,sub-verse073,0.902999,0.901087,-0.0019120000000000248,1.0,1.0,0.0
4,sub-verse078,0.94896,0.951526,0.002565999999999957,1.0,1.0,0.0
4,sub-verse080,0.942486,0.944117,0.001630999999999938,1.0,1.0,0.0
4,sub-verse093,0.916744,0.91184,-0.0049040000000000195,1.0,1.0,0.0
4,sub-verse095,0.964044,0.965287,0.0012429999999999941,1.0,1.0,0.0
4,sub-verse116,0.675044,0.673535,-0.0015089999999999826,1.0,1.0,0.0
4,sub-verse124,0.895797,0.895316,-0.0004809999999999537,1.0,1.0,0.0
4,sub-verse125,0.882847,0.879478,-0.0033690000000000664,1.0,1.0,0.0
4,sub-verse150,0.85904,0.855222,-0.003817999999999988,0.833333,0.833333,0.0
4,sub-verse153,0.974085,0.973861,-0.00022400000000000198,1.0,1.0,0.0
4,sub-verse205,0.907029,0.904332,-0.0026969999999999494,1.0,1.0,0.0
4,sub-verse221,0.890471,0.888068,-0.002403000000000044,1.0,1.0,0.0
4,sub-verse225,0.893192,0.875267,-0.01792499999999997,1.0,0.875,-0.125
4,sub-verse230,0.939001,0.914209,-0.024791999999999925,1.0,1.0,0.0
4,sub-verse242,0.916141,0.931809,0.015668000000000015,1.0,1.0,0.0
4,sub-verse252,0.964646,0.964849,0.00020299999999995322,0.647059,0.647059,0.0
4,sub-verse264,0.959326,0.959909,0.0005830000000000002,0.882353,1.0,0.11764699999999995
4,sub-verse269,0.958469,0.957278,-0.0011910000000000531,0.875,0.875,0.0
4,sub-verse276,0.952322,0.951704,-0.0006180000000000074,1.0,1.0,0.0
4,sub-verse400_split-verse090,0.911927,0.918405,0.006477999999999984,1.0,1.0,0.0
4,sub-verse400_split-verse155,0.949535,0.949885,0.00034999999999996145,1.0,1.0,0.0
4,sub-verse404_split-verse209,0.957725,0.957193,-0.000532000000000088,1.0,1.0,0.0
4,sub-verse404_split-verse256,0.976776,0.977035,0.0002590000000000092,1.0,1.0,0.0
4,sub-verse412_split-verse235,0.911288,0.893264,-0.01802400000000004,1.0,1.0,0.0
4,sub-verse412_split-verse290,0.964808,0.9627,-0.0021079999999999988,0.947368,0.894737,-0.05263099999999998
