subject_id,fold,metric,model,value,cases_aggregated
sub-verse018,1,label_set_jaccard,d129,0.7619047619047619,1
sub-verse018,1,label_set_jaccard,d175,0.7619047619047619,1
sub-verse018,1,macro_label_dice,d129,0.9468193849416376,1
sub-verse018,1,macro_label_dice,d175,0.9437871506002072,1
sub-verse018,1,missing_label_count,d129,0.0,1
sub-verse018,1,missing_label_count,d175,0.0,1
sub-verse018,2,common_matched_assd_mm,d129,1.3931657198639398,1
sub-verse018,2,common_matched_assd_mm,d175,3.213029447236995,1
sub-verse018,2,common_matched_hd95_mm,d129,6.526064700108727,1
sub-verse018,2,common_matched_hd95_mm,d175,18.418246349834074,1
sub-verse018,2,complete_label_set_indicator,d129,0.0,1
sub-verse018,2,complete_label_set_indicator,d175,0.0,1
sub-verse018,2,foreground_dice,d129,0.907965,1
sub-verse018,2,foreground_dice,d175,0.898831,1
sub-verse018,2,identification_rate,d129,1.0,1
sub-verse018,2,identification_rate,d175,0.875,1
sub-verse018,2,label_set_jaccard,d129,0.8,1
sub-verse018,2,label_set_jaccard,d175,0.8421052631578947,1
sub-verse018,2,macro_label_dice,d129,0.8761192761223633,1
sub-verse018,2,macro_label_dice,d175,0.8895092388275676,1
sub-verse018,2,missing_label_count,d129,0.0,1
sub-verse018,2,missing_label_count,d175,0.0,1
sub-verse018,3,common_matched_assd_mm,d129,0.23803646579178764,1
sub-verse018,3,common_matched_assd_mm,d175,0.7026714555205275,1
sub-verse018,3,common_matched_hd95_mm,d129,1.3571735252312678,1
sub-verse018,3,common_matched_hd95_mm,d175,2.3907232504946565,1
sub-verse018,3,complete_label_set_indicator,d129,0.0,1
sub-verse018,3,complete_label_set_indicator,d175,0.0,1
sub-verse018,3,foreground_dice,d129,0.910344,1
sub-verse018,3,foreground_dice,d175,0.906358,1
sub-verse018,3,identification_rate,d129,1.0,1
sub-verse018,3,identification_rate,d175,1.0,1
sub-verse018,3,label_set_jaccard,d129,0.8888888888888888,1
sub-verse018,3,label_set_jaccard,d175,0.8421052631578947,1
sub-verse018,3,macro_label_dice,d129,0.951894968300673,1
sub-verse018,3,macro_label_dice,d175,0.940071002807457,1
sub-verse018,3,missing_label_count,d129,0.0,1
sub-verse018,3,missing_label_count,d175,0.0,1
sub-verse018,4,common_matched_assd_mm,d129,0.6402217851623657,1
sub-verse018,4,common_matched_assd_mm,d175,0.9347841833039089,1
sub-verse018,4,common_matched_hd95_mm,d129,1.4892766505931534,1
sub-verse018,4,common_matched_hd95_mm,d175,2.9233067873853495,1
sub-verse018,4,complete_label_set_indicator,d129,0.0,1
sub-verse018,4,complete_label_set_indicator,d175,0.0,1
sub-verse018,4,foreground_dice,d129,0.9126,1
sub-verse018,4,foreground_dice,d175,0.907747,1
sub-verse018,4,identification_rate,d129,1.0,1
sub-verse018,4,identification_rate,d175,1.0,1
sub-verse018,4,label_set_jaccard,d129,0.8421052631578947,1
sub-verse018,4,label_set_jaccard,d175,0.7619047619047619,1
sub-verse018,4,macro_label_dice,d129,0.9475043388383048,1
sub-verse018,4,macro_label_dice,d175,0.9386756592688222,1
sub-verse018,4,missing_label_count,d129,0.0,1
sub-verse018,4,missing_label_count,d175,0.0,1
sub-verse022,0,common_matched_assd_mm,d129,4.050461604337217,1
sub-verse022,0,common_matched_assd_mm,d175,0.3210312873053917,1
sub-verse022,0,common_matched_hd95_mm,d129,14.808141931245686,1
sub-verse022,0,common_matched_hd95_mm,d175,1.082842712474619,1
sub-verse022,0,complete_label_set_indicator,d129,0.0,1
sub-verse022,0,complete_label_set_indicator,d175,0.0,1
sub-verse022,0,foreground_dice,d129,0.872696,1
sub-verse022,0,foreground_dice,d175,0.876392,1
sub-verse022,0,identification_rate,d129,0.6,1
sub-verse022,0,identification_rate,d175,1.0,1
sub-verse022,0,label_set_jaccard,d129,0.7142857142857143,1
sub-verse022,0,label_set_jaccard,d175,0.625,1
sub-verse022,0,macro_label_dice,d129,0.604490074407989,1
sub-verse022,0,macro_label_dice,d175,0.9473443229864715,1
sub-verse022,0,missing_label_count,d129,0.0,1
sub-verse022,0,missing_label_count,d175,0.0,1
sub-verse022,1,common_matched_assd_mm,d129,0.19505600976689622,1
sub-verse022,1,common_matched_assd_mm,d175,0.19582815530059205,1
sub-verse022,1,common_matched_hd95_mm,d129,1.0,1
sub-verse022,1,common_matched_hd95_mm,d175,1.0,1
sub-verse022,1,complete_label_set_indicator,d129,0.0,1
sub-verse022,1,complete_label_set_indicator,d175,0.0,1
sub-verse022,1,foreground_dice,d129,0.879211,1
sub-verse022,1,foreground_dice,d175,0.879784,1
sub-verse022,1,identification_rate,d129,1.0,1
sub-verse022,1,identification_rate,d175,1.0,1
sub-verse022,1,label_set_jaccard,d129,0.625,1
sub-verse022,1,label_set_jaccard,d175,0.7142857142857143,1
sub-verse022,1,macro_label_dice,d129,0.9568203343223877,1
sub-verse022,1,macro_label_dice,d175,0.9561389760713987,1
sub-verse022,1,missing_label_count,d129,0.0,1
sub-verse022,1,missing_label_count,d175,0.0,1
sub-verse022,2,common_matched_assd_mm,d129,0.20537675670857053,1
sub-verse022,2,common_matched_assd_mm,d175,0.28726804304358844,1
sub-verse022,2,common_matched_hd95_mm,d129,1.0,1
sub-verse022,2,common_matched_hd95_mm,d175,1.0,1
sub-verse022,2,complete_label_set_indicator,d129,0.0,1
