background,delta,simulation,mean_estimate,ci_low,ci_high,detected,subjects,folds,bootstrap_repetitions,seed
D175_minus_D129_foreground_dice,0.001,212,0.002139845945945939,-0.0007792739189189152,0.005069289864864848,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,213,0.0004379081081081093,-0.001490707027027013,0.002647318378378387,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,214,0.0011100675675675712,-0.0018119408108107993,0.003507037162162154,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,215,0.0012877594594594575,-0.000601725067567561,0.0032657980405405326,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,216,0.0033929891891891855,0.0011379594594594525,0.0061240895270270185,True,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,217,0.00013804864864865263,-0.0022858213513513464,0.002517259527027021,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,218,0.0012741108108108093,-3.11726351351407e-05,0.002393424527027015,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,219,0.0003774891891891905,-0.0019490770945945932,0.0025035574324324284,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,220,0.0014325270270270263,-0.00073118986486487,0.003908331013513507,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,221,-0.0021026162162162145,-0.006014759864864881,0.0011903329729729781,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,222,0.0016459729729729723,-0.000797728108108105,0.004031553581081087,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,223,0.00044519189189189253,-0.0033653463513513447,0.004081662567567562,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,224,0.0019420864864864882,-0.00024744959459458636,0.004367523040540543,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,225,-0.0003353027027027024,-0.0029323354054054023,0.0015576935135135244,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,226,0.0010643486486486536,-0.0021789890540540565,0.0038808058108108097,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,227,0.00348379459459459,0.0011302966891891771,0.005960524054054045,True,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,228,-0.0005933027027027064,-0.004400300810810816,0.003069278040540534,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,229,0.0015995783783783754,-0.0010597787162162184,0.004006922905405402,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,230,0.0011321108108108067,-0.0021921547972972967,0.0038393775675675517,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,231,0.0014058513513513545,-0.001980713175675665,0.004489817905405398,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,232,0.0001619486486486434,-0.0028922495270270357,0.002778832770270243,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,233,0.0002708810810810836,-0.0031101236486486402,0.0034335875675675495,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,234,-5.620810810811181e-05,-0.002482937837837841,0.0023690730405405225,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,235,0.001746556756756752,-0.0007644124324324255,0.004359337702702687,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,236,-7.308108108107465e-06,-0.003211690202702699,0.0032957702702702653,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,237,0.001062832432432437,-0.0017108541216216118,0.003515560135135127,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,238,-3.319189189189936e-05,-0.0035680387837837856,0.002846179729729725,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,239,0.0015298351351351331,-0.0009294659459459449,0.0038991602702702593,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,240,0.001228345945945941,-0.0013005509459459448,0.0034146743243243303,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,241,-0.00014634054054053688,-0.002214668851351342,0.0017708497297297243,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,242,-0.0008369621621621672,-0.004139473513513518,0.0018232352027027054,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,243,9.574594594595048e-05,-0.0030889262162162195,0.003125371216216208,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,244,9.410270270270271e-05,-0.0022614915540540583,0.0023619395270270283,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,245,0.0007061540540540552,-0.0011177485135135114,0.0025361212162162143,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,246,0.002279678378378379,0.0003466075000000018,0.00460459898648648,True,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,247,0.00041648918918918854,-0.002929427837837839,0.0034667344594594388,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,248,0.00460377567567567,0.0022960088513513505,0.007265728378378368,True,37,5,2000,20260716
